 description                     ,Año,Mes,Día, description                                            
 Fiestas ESTATALES               ,2018,1,1, Año Nuevo                                              
 Festivos GRANADA                ,2018,1,2,Día de la Toma
 Fiestas ESTATALES               ,2018,1,6, Epifanía del Señor                                     
 Festivos PALMA DE MALLORCA      ,2018,1,20, San Sebastián                                          
 Festivos SAN SEBASTIÁN          ,2018,1,20, Día de San Sebastián                                   
 Festivos HUESCA                 ,2018,1,22, San Vicente                                            
 Festivos VALENCIA               ,2018,1,22, San Vicente Martir
 Festivos TOLEDO                 ,2018,1,23, San Ildefonso                                          
 Festivos ZARAGOZA               ,2018,1,29,San Valero
 Festivos PALENCIA               ,2018,2,2, Las Candelas                                           
 Festivos CÁDIZ                  ,2018,2,12, Lunes de Carnaval                                      
 Festivos A CORUÑA               ,2018,2,13, Martes de Carnaval                                     
 Festivos LAS PALMAS             ,2018,2,13, Martes de Carnaval                                     
 Festivos OURENSE                ,2018,2,13, Martes de Carnaval                                     
 Festivos PONTEVEDRA             ,2018,2,14, Miércoles de Ceniza                                    
 Festivos ANDALUCIA              ,2018,2,28, Día de Andalucía                                       
 Festivos BALEARES               ,2018,3,1, Día de las Islas Baleares                              
 Festivos CASTELLÓN              ,2018,3,5, Fiestas de la Magdalena                                     
 Festivos ZARAGOZA               ,2018,3,5,Cincomarzada                                            
 Festivos A CORUÑA               ,2018,3,8,Día Internacional de la Mujer
 Festivos BADAJOZ                ,2018,3,13, Martes de Carnaval                                     
 Festivos LUGO                   ,2018,3,13, Martes de Carnaval                                     
 Festivos COMUNIDAD VALENCIANA   ,2018,3,19, Jueves Santo                                           
 Festivos REGIÓN DE MURCIA       ,2018,3,19,San José
 Festivos CIUDAD DE MELILLA      ,2018,3,19,San José
 Festivos ANDALUCIA              ,2018,3,29, Jueves Santo                                           
 Festivos PAÍS VASCO             ,2018,3,29, Jueves Santo                                           
 Festivos ARAGÓN                 ,2018,3,29, Jueves Santo                                           
 Festivos ASTURIAS               ,2018,3,29, Jueves Santo                                           
 Festivos BALEARES               ,2018,3,29, Jueves Santo                                           
 Festivos CANARIAS               ,2018,3,29, Jueves Santo                                           
 Festivos CASTILLA - LA MANCHA   ,2018,3,29, Jueves Santo                                           
 Festivos CASTILLA Y LEÓN        ,2018,3,29, Jueves Santo                                           
 Festivos EXTREMADURA            ,2018,3,29, Jueves Santo                                           
 Festivos GALICIA                ,2018,3,29, Jueves Santo                                           
 Festivos COMUNIDAD DE MADRID    ,2018,3,29, Jueves Santo                                           
 Festivos REGIÓN DE MURCIA       ,2018,3,29, Jueves Santo                                           
 Festivos NAVARRA                ,2018,3,29, Jueves Santo                                           
 Festivos LA RIOJA               ,2018,3,29, Jueves Santo                                           
 Festivos CIUDAD DE CEUTA        ,2018,3,29, Jueves Santo                                           
 Festivos CIUDAD DE MELILLA      ,2018,3,29, Jueves Santo                                           
 Fiestas ESTATALES               ,2018,3,30, Viernes Santo                                          
 Festivos PAÍS VASCO             ,2018,4,2, Lunes de Pascua                                        
 Festivos BALEARES               ,2018,4,2, Lunes de Pascua                                        
 Festivos CATALUÑA               ,2018,4,2, Lunes de Pascua                                        
