X|X|IT|IMS|T
49|Transporte terrestre y por tubería|1.80|1.50|3.30
494|Transporte de mercancías por carretera y servicios de mudanza|2.00|1.70|3.70
50|Transporte marítimo y por vías navegables interiores |2.00|1.85|3.85
51|Transporte aéreo|1.90|1.70|3.60
52|Almacenamiento y actividades anexas al transporte|1.80|1.50|3.30
x|Carga y descarga; estiba y desestiba|3.35|3.35|6.70
5221|Actividades anexas al transporte terrestre|1.00|1.10|2.10
53|Actividades postales y de correos|1.00|0.75|1.75
55|Servicios de alojamiento|0.80|0.70|1.50
56|Servicios de comidas y bebidas|0.80|0.70|1.50
58|Edición|0.65|1.00|1.65
59|Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical|0.80|0.70|1.50
60|Actividades de programación y emisión de radio y televisión|0.80|0.70|1.50
61|Telecomunicaciones|0.80|0.70|1.50
62|Programación, consultoría y otras actividades relacionadas con la informática|0.80|0.70|1.50
63|Servicios de información|0.65|1.00|1.65
6391|Actividades de las agencias de noticias|0.80|0.70|1.50
64|Servicios financieros, excepto seguros y fondos de pensiones|0.80|0.70|1.50
65|Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria|0.80|0.70|1.50
66|Actividades auxiliares a los servicios financieros y a los seguros|0.80|0.70|1.50
68|Actividades inmobiliarias|0.65|1.00|1.65
69|Actividades jurídicas y de contabilidad|0.80|0.70|1.50
70|Actividades de las sedes centrales; actividades de consultoría de gestión empresarial|0.80|0.70|1.50
71|Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos|0.65|1.00|1.65
72|Investigación y desarrollo|0.80|0.70|1.50
73|Publicidad y estudios de mercado|0.90|0.80|1.70
74|Otras actividades profesionales, científicas y técnicas|0.90|0.85|1.75
742|Actividades de fotografía|0.80|0.70|1.50
75|Actividades veterinarias|1.50|1.10|2.60
77|Actividades de alquiler|1.00|1.00|2.00
78|Actividades relacionadas con el empleo|1.55|1.20|2.75
X|Carga y descarga: estiba y desestiba|3.35|3.35|6.70
781|Actividades de las agencias de colocación|0.95|1.00|1.95
79|Actividades de las agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos|0.80|0.70|1.50
80|Actividades de seguridad e investigación|1.40|2.20|3.60
81|Servicios a edificios y actividades de jardinería|2.10|1.50|3.60
811|Servicios integrales a edificios e instalaciones|1.00|0.85|1.85
82|Actividades administrativas de oficina y otras actividades auxiliares a las empresas|1.00|1.05|2.05
8220|Actividades de los centros de llamadas|0.80|0.70|1.50
8292|Actividades de envasado y empaquetado|1.80|1.50|3.30
