CNAE2009,TÍTULO_CNAE2009,CNAE2025,TÍTULO_CNAE2025,NIVEL
05.10,Extracción de antracita y hulla,05.10,Extracción de antracita y hulla,4
05.2,Extracción de lignito,05.2,Extracción de lignito,3
05.20,Extracción de lignito,05.20,Extracción de lignito,4
06,Extracción de crudo de petróleo y gas natural,06,Extracción de crudo de petróleo y gas natural,2
06.1,Extracción de crudo de petróleo,06.1,Extracción de crudo de petróleo,3
06.10,Extracción de crudo de petróleo,06.10,Extracción de crudo de petróleo,4
06.2,Extracción de gas natural,06.2,Extracción de gas natural,3
06.20,Extracción de gas natural,06.20,Extracción de gas natural,4
07,Extracción de minerales metálicos,07,Extracción de minerales metálicos,2
07.1,Extracción de minerales de hierro,07.1,Extracción de minerales de hierro,3
07.10,Extracción de minerales de hierro,07.10,Extracción de minerales de hierro,4
07.2,Extracción de minerales metálicos no férreos,07.2,Extracción de minerales metálicos no férreos,3
07.21,Extracción de minerales de uranio y torio,07.21,Extracción de minerales de uranio y torio,4
07.29,Extracción de otros minerales metálicos no férreos,07.29,Extracción de otros minerales metálicos no férreos,4
08,Otras industrias extractivas,08,Otras industrias extractivas,2
08.1,"Extracción de piedra, arena y arcilla",08.1,"Extracción de piedra, arena y arcilla",3
08.11,"Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra",08.11,"Extracción de piedra ornamental, piedra caliza, yeso, pizarra y otras piedras",4
08.12,Extracción de gravas y arenas; extracción de arcilla y caolín,08.12,Extracción de gravas y arenas y extracción de arcilla y caolín,4
08.9,Industrias extractivas n.c.o.p.,08.9,Industrias extractivas n.c.o.p.,3
08.91,Extracción de minerales para productos químicos y fertilizantes,08.91,Extracción de minerales para productos químicos y fertilizantes,4
08.92,Extracción de turba,08.92,Extracción de turba,4
08.93,Extracción de sal,08.93,Extracción de sal,4
08.99,Otras industrias extractivas n.c.o.p.,08.99,Otras industrias extractivas n.c.o.p.,4
09,Actividades de apoyo a las industrias extractivas,09,Actividades de apoyo a las industrias extractivas,2
09.1,Actividades de apoyo a la extracción de petróleo y gas natural,09.1,Actividades de apoyo a la extracción de petróleo y gas natural,3
09.10,Actividades de apoyo a la extracción de petróleo y gas natural,09.10,Actividades de apoyo a la extracción de petróleo y gas natural,4
09.9,Actividades de apoyo a otras industrias extractivas,09.9,Actividades de apoyo a otras industrias extractivas,3
09.90,Actividades de apoyo a otras industrias extractivas,09.90,Actividades de apoyo a otras industrias extractivas,4
10,Industria de la alimentación,10,Industria alimentaria,2
10.1,Procesado y conservación de carne y elaboración de productos cárnicos,10.1,Procesado y conservación de carne y elaboración de productos cárnicos,3
10.11,Procesado y conservación de carne,10.11,"Procesado y conservación de carne, excepto volatería",4
10.12,Procesado y conservación de volatería,10.12,Procesado y conservación de volatería,4
10.13,Elaboración de productos cárnicos y de volatería,10.13,Elaboración de productos cárnicos y de volatería,4
10.2,"Procesado y conservación de pescados, crustáceos y moluscos",10.2,"Procesado y conservación de pescados, crustáceos y moluscos",3
10.21,"Procesado de pescados, crustáceos y moluscos",10.21,"Procesado de pescados, crustáceos y moluscos",4
10.22,Fabricación de conservas de pescado,10.22,Fabricación de conservas de pescado,4
10.3,Procesado y conservación de frutas y hortalizas,10.3,Procesado y conservación de frutas y hortalizas,3
10.31,Procesado y conservación de patatas,10.31,Procesado y conservación de patatas,4
10.32,Elaboración de zumos de frutas y hortalizas,10.32,Elaboración de zumos de frutas y hortalizas,4
10.39,Otro procesado y conservación de frutas y hortalizas,10.39,Otro procesado y conservación de frutas y hortalizas,4
10.4,Fabricación de aceites y grasas vegetales y animales,10.4,Fabricación de aceites y grasas vegetales y animales,3
10.42,Fabricación de margarina y grasas comestibles similares,10.42,Fabricación de margarina y grasas comestibles similares,4
10.43,Fabricación de aceite de oliva,10.43,Fabricación de aceite de oliva,4
10.44,Fabricación de otros aceites y grasas,10.44,Fabricación de otros aceites y grasas,4
10.5,Fabricación de productos lácteos,10.5,Fabricación de productos lácteos y hielo comestible,3
10.52,Elaboración de helados,10.52,Fabricación de helados y otros hielos comestibles,4
10.53,Fabricación de quesos,10.53,Fabricación de quesos,4
10.54,Preparación de leche y otros productos lácteos,10.54,Preparación de leche y otros productos lácteos,4
10.6,"Fabricación de productos de molinería, almidones y productos amiláceos",10.6,"Fabricación de productos de molinería, almidones y productos amiláceos",3
10.8,Fabricación de otros productos alimenticios,10.6,"Fabricación de productos de molinería, almidones y productos amiláceos",3
10.61,Fabricación de productos de molinería,10.61,Fabricación de productos de molinería,4
